"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*05udw*","Romaine Mundle","SUN","F","587","FA","@NOT Sat 5:30PM","0","0","0%","+0.1%"
"*061z3*","Fabio Vieira","ARS","M","673","FA","@NEW Sun 4:30PM","0","0","0%","+0.1%"
"*06mx2*","Carlos Miguel","NOT","G","690","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06442*","Zach Abbott","NOT","D","411","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*05xtq*","Matthew Cox","BRF","G","478","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*04qos*","Issa Diop","FUL","D","487","FA","@AVL Sun 2:00PM","0","0","0%","0%"
"*06ime*","Radu Dragusin","TOT","D","493","FA","WOL Sat 8:00PM","0","0","0%","-0.1%"
"*05n03*","Kalvin Phillips","MCI","M","612","FA","BUR Sat 3:00PM","0","0","0%","0%"
"*06v04*","Armin Pecsi","LIV","G","619","FA","@CRY Sat 3:00PM","0","0","0%","0%"
"*037mt*","Harrison Reed","FUL","M","626","FA","@AVL Sun 2:00PM","0","0","0%","0%"
"*06jfe*","Hakon Valdimarsson","BRF","G","672","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*04gyd*","Brandon Austin","TOT","G","430","FA","WOL Sat 8:00PM","0","0","0%","0%"
"*02lo6*","Daniel Bentley","WOL","G","444","FA","@TOT Sat 8:00PM","0","0","0%","0%"
"*06fwo*","Enso Gonzalez","WOL","F","507","FA","@TOT Sat 8:00PM","0","0","0%","0%"
"*05746*","Emil Krafth","NEW","D","546","FA","ARS Sun 4:30PM","0","0","0%","0%"
"*070gt*","John Victor Maciel Furtado","NOT","G","559","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06v0e*","Blondy Nna Noukeu","SUN","G","591","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06mnn*","Chadi Riad","CRY","D","628","FA","LIV Sat 3:00PM","0","0","0%","-0.1%"
"*070hr*","Jonah Kusi-Asare","FUL","F","548","FA","@AVL Sun 2:00PM","0","0","0%","-0.1%"
"*06zbw*","Benjamin Lecomte","FUL","G","554","FA","@AVL Sun 2:00PM","0","0","0%","0%"
"*04qr0*","Willy Boly","NOT","D","453","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*064op*","Tyler Fredricson","MUN","D","502","FA","@BRF Sat 12:30PM","0","0","0%","0%"
"*05a6d*","Tariq Lamptey","BHA","D","552","FA","@CHE Sat 3:00PM","0","0","0%","0%"
"*06phr*","Gustavo Nunes","BRF","F","593","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*05nip*","Dane Scarlett","TOT","F","640","FA","WOL Sat 8:00PM","0","0","0%","0%"
"*06nvc*","Asher Agbinone","CRY","M","414","FA","LIV Sat 3:00PM","0","0","0%","0%"
"*06y28*","Sebastiaan Bornauw","LEE","D","455","FA","BOU Sat 3:00PM","0","0","0%","0%"
"*05uh9*","Bryan Gil","TOT","F","504","FA","WOL Sat 8:00PM","0","0","0%","0%"
"*06zbq*","Andre Harriman-Annous","ARS","F","515","FA","@NEW Sun 4:30PM","0","0","0%","+0.2%"
"*06s7s*","Harry Howell","BHA","F","528","FA","@CHE Sat 3:00PM","0","0","0%","0%"
"*05ubh*","Remi Matthews","CRY","G","571","FA","LIV Sat 3:00PM","0","0","0%","+0.1%"
"*06nbu*","Stephen Mfuni","MCI","D","577","FA","BUR Sat 3:00PM","0","0","0%","+0.3%"
"*05vyc*","Aaron Ramsey","BUR","M","625","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*05tr5*","Mads Roerslev","BRF","D","632","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*03m5i*","Freddie Woodman","LIV","G","685","FA","@CRY Sat 3:00PM","0","0","0%","0%"
"*06zxz*","Scott Bailey","NEW","M","436","FA","ARS Sun 4:30PM","0","0","0%","+0.1%"
"*06clx*","Jordan Beyer","BUR","D","449","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*070hb*","Jaydee Canvot","CRY","D","467","FA","LIV Sat 3:00PM","0","0","0%","-0.1%"
"*06ib6*","Tawanda Chirewa","WOL","M","472","FA","@TOT Sat 8:00PM","0","0","0%","+0.1%"
"*06klv*","Jayden Danns","LIV","F","480","FA","@CRY Sat 3:00PM","0","0","0%","0%"
"*05x12*","Leo Fuhr Hjelde","SUN","D","524","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*066iz*","Lewis Orford","WHU","M","601","FA","@EVE Mon 8:00PM","0","0","0%","0%"
"*06zc0*","Seung-Soo Park","NEW","F","604","FA","ARS Sun 4:30PM","0","0","0%","-0.1%"
"*05rjn*","Jesurun Rak-Sakyi","CRY","M","620","FA","LIV Sat 3:00PM","0","0","0%","0%"
"*05x9k*","Jeremy Sarmiento","BHA","M","638","FA","@CHE Sat 3:00PM","0","0","0%","0%"
"*0372y*","Matt Targett","NEW","D","657","FA","ARS Sun 4:30PM","0","0","0%","0%"
"*068ys*","Naouirou Ahamada","CRY","M","416","FA","LIV Sat 3:00PM","0","0","0%","0%"
"*06v0v*","Milan Aleksic","SUN","F","419","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*05ogg*","Ajibola Alese","SUN","D","420","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06r5m*","Aaron Anselmino","CHE","D","425","FA","BHA Sat 3:00PM","0","0","0%","0%"
"*05ogh*","Harrison Ashby","NEW","D","429","FA","ARS Sun 4:30PM","0","0","0%","0%"
"*02ls8*","Marcus Bettinelli","MCI","G","447","FA","BUR Sat 3:00PM","0","0","0%","0%"
"*04f67*","Philip Billing","BOU","M","451","FA","@LEE Sat 3:00PM","0","0","0%","0%"
"*05w90*","Maxwel Cornet","WHU","F","477","FA","@EVE Mon 8:00PM","0","0","0%","0%"
"*06fuh*","Hannes Delcroix","BUR","D","483","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*06xzb*","Romelle Donovan","BRF","M","491","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*05r4r*","Sam Greenwood","LEE","F","511","FA","BOU Sat 3:00PM","0","0","0%","0%"
"*062du*","Darko Gyabi","LEE","M","514","FA","BOU Sat 3:00PM","0","0","0%","0%"
"*05r2t*","Niall Huggins","SUN","F","529","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*066sh*","Bashir Humphreys","BUR","D","530","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*06mnb*","Samuel Iling-Junior","AVL","F","531","FA","FUL Sun 2:00PM","0","0","0%","0%"
"*06prv*","Jamaldeen Jimoh","AVL","M","532","FA","FUL Sun 2:00PM","0","0","0%","0%"
"*06nvb*","Caleb Kporha","CRY","D","545","FA","LIV Sat 3:00PM","0","0","0%","0%"
"*06zrq*","Wellity Lucky","LIV","D","558","FA","@CRY Sat 3:00PM","0","0","0%","0%"
"*04tsf*","Paris Maghoma","BRF","M","561","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*06rpm*","Mateus Mane","WOL","F","565","FA","@TOT Sat 8:00PM","0","0","0%","0%"
"*06ewy*","Alex Murphy","NEW","D","588","FA","ARS Sun 4:30PM","0","0","0%","0%"
"*05afj*","Largie Ramazani","LEE","F","622","FA","BOU Sat 3:00PM","0","0","0%","0%"
"*061z5*","Calvin Ramsay","LIV","D","623","FA","@CRY Sat 3:00PM","0","0","0%","0%"
"*062op*","Omar Richards","NOT","D","629","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06ya6*","Kota Takai","TOT","D","656","FA","WOL Sat 8:00PM","0","0","0%","0%"
"*06fy5*","Mike Tresor","BUR","F","663","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*05oji*","Rhys Williams","LIV","D","681","FA","@CRY Sat 3:00PM","0","0","0%","0%"
"*06cly*","Enock Agyei","BUR","F","415","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*06uzw*","Alex Cairns","LEE","G","464","FA","BOU Sat 3:00PM","0","0","0%","0%"
"*06v00*","Sam Chambers","LEE","M","471","FA","BOU Sat 3:00PM","0","0","0%","0%"
"*05uog*","Lewis Dobbin","AVL","F","489","FA","FUL Sun 2:00PM","0","0","0%","+0.1%"
"*05n09*","Mark Gillespie","NEW","G","505","FA","ARS Sun 4:30PM","0","0","0%","0%"
"*06441*","Martial Godo","FUL","F","506","FA","@AVL Sun 2:00PM","0","0","0%","0%"
"*044i7*","Angus Gunn","NOT","G","513","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06v0q*","Harrison Jones","SUN","M","534","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06ils*","Yunus Konak","BRF","M","542","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*06zrs*","Michael Laffey","LIV","M","549","FA","@CRY Sat 3:00PM","0","0","0%","0%"
"*06c4p*","Benson Manuel","BUR","F","564","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*06mgk*","Jayden Meghoma","BRF","D","574","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*033l8*","Simon Moore","SUN","G","580","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06few*","Youssef Chermiti","EVE","F","621","FA","WHU Mon 8:00PM","0","0","0%","0%"
"*06r3w*","Remy Rees-Dottin","BOU","F","627","FA","@LEE Sat 3:00PM","0","0","0%","0%"
"*062oi*","Kaden Rodney","CRY","M","631","FA","LIV Sat 3:00PM","0","0","0%","0%"
"*02m3v*","John Ruddy","NEW","G","634","FA","ARS Sun 4:30PM","0","0","0%","0%"
"*05o8k*","Fabio Silva","WOL","F","649","FA","@TOT Sat 8:00PM","0","0","0%","0%"
"*06zeg*","Max Thompson","NEW","G","659","FA","ARS Sun 4:30PM","0","0","0%","0%"
"*06mnd*","Eric da Silva Moreira","NOT","F","688","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06v0u*","Ahmed Abdullahi","SUN","F","412","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*067y2*","Daniel Adu-Addei","BOU","F","413","FA","@LEE Sat 3:00PM","0","0","0%","0%"
"*06kwh*","Benjamin Arthur","BRF","D","428","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*06uzr*","Jaydon Banel","BUR","F","440","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*0643r*","Owen Bevan","BOU","D","448","FA","@LEE Sat 3:00PM","0","0","0%","0%"
"*06v0k*","Alan Browne","SUN","M","461","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06zbt*","Rio Cardines","CRY","M","468","FA","LIV Sat 3:00PM","0","0","0%","0%"
"*06zrr*","Josh Davidson","LIV","D","481","FA","@CRY Sat 3:00PM","0","0","0%","0%"
"*04u6i*","Leander Dendoncker","AVL","M","484","FA","FUL Sun 2:00PM","0","0","0%","0%"
"*05tz8*","Emmanuel Dennis","NOT","F","485","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*02lym*","Lukasz Fabianski","WHU","G","498","FA","@EVE Mon 8:00PM","0","0","0%","0%"
"*05uhl*","Kaide Gordon","LIV","F","508","W <small>(Fri)</small>","@CRY Sat 3:00PM","0","0","0%","-1.8%"
"*06uzk*","Etienne Green","BUR","G","510","FA","@MCI Sat 3:00PM","0","0","0%","+0.1%"
"*06qgn*","Shumaira Mheuka","CHE","F","578","W <small>(Fri)</small>","BHA Sat 3:00PM","0","0","0%","-1.8%"
"*05r93*","Tyler Onyango","EVE","M","600","FA","WHU Mon 8:00PM","0","0","0%","0%"
"*06awp*","Travis Patterson","AVL","D","607","FA","FUL Sun 2:00PM","0","0","0%","0%"
"*04ym3*","Ian Poveda-Ocampo","SUN","F","617","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06uzx*","Isaac Schmidt","LEE","D","641","FA","BOU Sat 3:00PM","0","0","0%","0%"
"*06zqi*","Joshua Stephenson","BRF","D","655","FA","MUN Sat 12:30PM","0","0","0%","+0.1%"
"*05rc7*","Harry Tyrer","EVE","G","669","FA","WHU Mon 8:00PM","0","0","0%","0%"
"*06kk4*","Franco Umeh-Chibueze","CRY","F","670","FA","LIV Sat 3:00PM","0","0","0%","0%"
"*06rrq*","Reggie Walsh","CHE","M","675","W <small>(Fri)</small>","BHA Sat 3:00PM","0","0","0%","-1.8%"
"*06r5r*","Matai Akinmboni","BOU","D","418","FA","@LEE Sat 3:00PM","0","0","0%","0%"
"*05uh0*","Joseph Anderson","SUN","D","424","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*05u40*","Ellery Balcombe","BRF","G","438","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*06zod*","Dean Benamar","CRY","D","443","FA","LIV Sat 3:00PM","0","0","0%","0%"
"*06zc3*","Junai Byfield","TOT","D","463","FA","WOL Sat 8:00PM","0","0","0%","0%"
"*06jgk*","Romain Faivre","BOU","M","499","FA","@LEE Sat 3:00PM","0","0","0%","0%"
"*06zvn*","George Hemmings","AVL","M","520","FA","FUL Sun 2:00PM","0","0","0%","0%"
"*06cmt*","Tom King","EVE","G","537","FA","WHU Mon 8:00PM","0","0","0%","0%"
"*062ft*","Tyrell Malacia","MUN","D","562","FA","@BRF Sat 12:30PM","0","0","0%","0%"
"*06hcm*","Callum Marshall","WHU","F","568","FA","@EVE Mon 8:00PM","0","0","0%","0%"
"*06jgu*","Callan McKenna","BOU","G","573","FA","@LEE Sat 3:00PM","0","0","0%","0%"
"*04ylt*","Chris Mepham","BOU","D","575","FA","@LEE Sat 3:00PM","0","0","0%","0%"
"*06mex*","Alex Paulsen","BOU","G","609","FA","@LEE Sat 3:00PM","0","0","0%","0%"
"*05nuf*","Myles Peart-Harris","BRF","M","610","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*06xzk*","Timothee Pembele","SUN","D","611","FA","@NOT Sat 5:30PM","0","0","0%","+0.1%"
"*06prt*","Triston Rowe","AVL","D","633","FA","FUL Sun 2:00PM","0","0","0%","0%"
"*062cj*","Abdallah Sima","BHA","F","644","FA","@CHE Sat 3:00PM","0","0","0%","0%"
"*070hm*","Luis Eduardo Soares da Silva","NOT","D","650","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06rwp*","Charlie Tasker","BHA","D","658","FA","@CHE Sat 3:00PM","0","0","0%","0%"
"*06xzl*","Nectarios Triantis","SUN","D","664","FA","@NOT Sat 5:30PM","0","0","0%","+0.1%"
"*06qq9*","Luca Williams-Barnett","TOT","F","682","W <small>(Fri)</small>","WOL Sat 8:00PM","0","0","0%","-1.9%"
"*06xzn*","Abdoullah Ba","SUN","M","433","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*03dxr*","Ashley Barnes","BUR","F","442","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*0700s*","Adam Berry","NOT","M","446","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06cm7*","Josh Bowler","NOT","M","457","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06pry*","Kaden Braithwaite","MCI","D","458","W <small>(Fri)</small>","BUR Sat 3:00PM","0","0","0%","-1.9%"
"*06zoe*","Luke Browne","CRY","D","462","FA","LIV Sat 3:00PM","0","0","0%","0%"
"*0645w*","Krisztian Hegyi","WHU","G","518","FA","@EVE Mon 8:00PM","0","0","0%","0%"
"*06nlc*","Reigan Heskey","MCI","F","522","W <small>(Fri)</small>","BUR Sat 3:00PM","0","0","0%","-1.9%"
"*06xzo*","Jay Matete","SUN","M","570","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*05vyh*","Andy Moran","BHA","M","581","FA","@CHE Sat 3:00PM","0","0","0%","0%"
"*06rkq*","Kieran Morrison","LIV","M","583","W <small>(Fri)</small>","@CRY Sat 3:00PM","0","0","0%","-1.9%"
"*070en*","Oliver Pimlott","BUR","F","614","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*06ie2*","Sam Proctor","AVL","G","618","FA","FUL Sun 2:00PM","0","0","0%","0%"
"*06xzq*","Nazariy Rusyn","SUN","F","635","FA","@NOT Sat 5:30PM","0","0","0%","+0.1%"
"*06nk0*","Tommy Setford","ARS","G","642","FA","@NEW Sun 4:30PM","0","0","0%","0%"
"*06xzp*","Luis Hemir Silva Semedo","SUN","F","643","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06zc8*","Tynan Thompson","TOT","F","660","W <small>(Fri)</small>","WOL Sat 8:00PM","0","0","0%","-1.9%"
"*06v0x*","Tymur Tutierov","SUN","F","667","FA","@NOT Sat 5:30PM","0","0","0%","+0.1%"
"*06uzs*","Tom Tweedy","BUR","F","668","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*06avm*","James Wright","AVL","G","686","FA","FUL Sun 2:00PM","0","0","0%","0%"
"*06pru*","Aidan Borland","AVL","M","454","FA","FUL Sun 2:00PM","0","0","0%","0%"
"*06kji*","Ollie Harrison","CHE","M","516","W <small>(Fri)</small>","BHA Sat 3:00PM","0","0","0%","-2%"
"*06nbw*","Jaden Heskey","MCI","F","521","W <small>(Fri)</small>","BUR Sat 3:00PM","0","0","0%","-2%"
"*06mfw*","Vaclav Hladky","BUR","G","525","FA","@MCI Sat 3:00PM","0","0","0%","0%"
"*06xzm*","Zak Johnson","SUN","D","533","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*070eo*","Jenson Jones","SUN","M","536","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06zqj*","Ethan Laidlaw","BRF","F","550","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*05rbn*","Thomas McGill","BHA","G","572","FA","@CHE Sat 3:00PM","0","0","0%","0%"
"*06xzj*","David Mota Veiga Teixeira do Carmo","NOT","D","584","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06s7r*","Freddie Simmonds","BHA","D","645","FA","@CHE Sat 3:00PM","0","0","0%","0%"
"*0700r*","Jimmy Sinclair","NOT","M","646","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*06mmk*","Marko Stamenic","NOT","M","653","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*0700q*","Archie Whitehall","NOT","M","679","FA","SUN Sat 5:30PM","0","0","0%","0%"
"*070eq*","Jack Whittaker","SUN","M","680","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*071xd*","George Brierley","BUR","M","460","W <small>(Fri)</small>","@MCI Sat 3:00PM","0","0","0%","0%"
"*06idv*","Elijah Campbell","EVE","D","465","FA","WHU Mon 8:00PM","0","0","0%","0%"
"*071xc*","Murray Campbell","BUR","D","466","W <small>(Fri)</small>","@MCI Sat 3:00PM","0","0","0%","0%"
"*071xe*","Ellis Clark","BUR","M","475","W <small>(Fri)</small>","@MCI Sat 3:00PM","0","0","0%","0%"
"*06jb3*","Ted Curd","CHE","G","479","FA","BHA Sat 3:00PM","0","0","0%","0%"
"*06on4*","Julian Eyestone","BRF","G","497","FA","MUN Sat 12:30PM","0","0","0%","0%"
"*070ep*","Jayden Jones","SUN","M","535","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*070em*","Marley Leuluai","BUR","M","556","FA","@MCI Sat 3:00PM","0","0","0%","-0.1%"
"*06v0r*","Ben Middlemas","SUN","M","579","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06v0w*","Trey Ogunsuyi","SUN","F","598","FA","@NOT Sat 5:30PM","0","0","0%","0%"
"*06yjz*","Tommy Pilling","LIV","M","613","W <small>(Fri)</small>","@CRY Sat 3:00PM","0","0","0%","0%"
"*071xf*","Brandon Pouani","BUR","F","616","W <small>(Fri)</small>","@MCI Sat 3:00PM","0","0","0%","0%"
"*06xzc*","Stefanos Tzimas","BHA","F","693","FA","@CHE Sat 3:00PM","-0.06","-0.06","1%","-0.2%"
"*043qy*","Lewis Cook","BOU","M","694","FA","@LEE Sat 3:00PM","-0.19","-0.19","14%","-0.6%"
"*0328q*","Tom Cairney","FUL","M","695","FA","@AVL Sun 2:00PM","-0.86","-0.29","0%","0%"
"*06zqq*","Jorrel Hato","CHE","D","696","FA","BHA Sat 3:00PM","-1.68","-0.84","6%","-9.9%"
